ID	K	P	C	O	F	G	S	BIOPROJECT	Group	completeness	contamination	strain_heterogeneity	length	N50	centrality
SRR17301547_bin.30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas sp900545585	PRJNA791492	PCOS	91.28	0.67	0.0	1958112	30291	0.98253125
SRR17301547_bin.42	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemanella	s__Holdemanella sp900556915	PRJNA791492	PCOS	95.28	0.8	25.0	2039536	14534	0.9646805
SRR17301548_bin.12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Avimicrobium	s__Avimicrobium caecorum	PRJNA791492	PCOS	82.33	1.51	66.67	1844811	6853	0.961386
SRR17301548_bin.23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger qucibialis	PRJNA791492	PCOS	95.46	0.0	0.0	2262465	8233	0.9798890816326532
SRR17301548_bin.26	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Scatavimonas	s__Scatavimonas sp900540275	PRJNA791492	PCOS	90.14	1.34	100.0	2343847	6651	0.0
SRR17301548_bin.36	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1484	s__UMGS1484 sp900552285	PRJNA791492	PCOS	93.2	0.0	0.0	1745128	24745	0.0
SRR17301548_bin.42	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UMGS1370	s__UMGS1370 sp900542035	PRJNA791492	PCOS	96.62	0.0	0.0	2596242	17645	0.0
SRR17301548_bin.46	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__UBA7173	s__UBA7173 sp900540205	PRJNA791492	PCOS	94.01	0.75	50.0	2553393	13519	0.0
SRR17301549_bin.22	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella stercoris	PRJNA791492	PCOS	94.73	2.87	57.14	1946113	8934	0.0
SRR17301550_bin.1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp003471165	PRJNA791492	PCOS	85.3	0.53	100.0	2944930	8945	0.0
SRR17301550_bin.21	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella_A	s__Veillonella_A magna	PRJNA791492	PCOS	92.69	2.51	66.67	1923796	5256	0.0
SRR17301550_bin.4	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A hominis	PRJNA791492	PCOS	93.96	0.0	0.0	1638846	6996	0.983923
SRR17301550_bin.6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__	PRJNA791492	PCOS	98.99	2.01	50.0	3553375	11431	0.0
SRR17301550_bin.8	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila_E	PRJNA791492	PCOS	96.56	1.36	100.0	3071336	15702	0.0
SRR17301551_bin.20	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Oliverpabstia	s__Oliverpabstia intestinalis	PRJNA791492	PCOS	85.15	0.97	0.0	2379389	9260	0.98067
SRR17301551_bin.21	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Evtepia	s__Evtepia sp004556345	PRJNA791492	PCOS	97.13	3.15	83.33	2268864	11698	0.9686595
SRR17301552_bin.9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Aristaeellaceae	g__Egerieenecus	s__Egerieenecus sp900553315	PRJNA791492	PCOS	92.74	2.15	40.0	2649047	6311	0.0
SRR17301553_bin.14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Caccousia	s__Caccousia sp900752115	PRJNA791492	PCOS	85.55	3.92	100.0	2683401	4955	0.0
SRR17301553_bin.2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola faecicola	PRJNA791492	PCOS	89.68	1.8	85.71	2897221	9282	0.0
SRR17301553_bin.24	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-510	s__CAG-510 sp000434615	PRJNA791492	PCOS	82.11	1.78	55.56	2113490	3792	0.0
SRR17301553_bin.28	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas sp900552475	PRJNA791492	PCOS	89.94	2.07	25.0	1841408	9988	0.976517
SRR17301554_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Intestinibacter	s__Intestinibacter bartlettii	PRJNA791492	PCOS	86.39	2.46	66.67	2675645	4407	0.0
SRR17301554_bin.14	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus salivarius	PRJNA791492	PCOS	81.59	1.43	57.14	1688268	3861	0.956316
SRR17301555_bin.1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes	s__Anaerostipes caccae	PRJNA791492	PCOS	92.72	4.16	53.85	3017053	9041	0.0
SRR17301555_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Brotaphodocola	s__Brotaphodocola sp900538475	PRJNA791492	PCOS	83.31	1.27	75.0	2189438	6071	0.0
SRR17301555_bin.15	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp944388165	PRJNA791492	PCOS	87.76	0.54	33.33	2306593	5989	0.0
SRR17301556_bin.2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Sutterella	s__Sutterella sp900757865	PRJNA791492	PCOS	91.28	1.38	25.0	2001657	6764	0.0
SRR17301556_bin.5	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp001916005	PRJNA791492	PCOS	85.26	4.31	11.76	1139626	3168	0.0
SRR17301557_bin.3	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	PRJNA791492	PCOS	86.69	4.17	60.0	1709967	4424	0.0
SRR17301558_bin.2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Butyricicoccus	s__Butyricicoccus pullicaecorum	PRJNA791492	PCOS	89.54	1.79	40.0	2503076	8052	0.0
SRR17301559_bin.24	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp900554155	PRJNA791492	PCOS	99.19	1.69	66.67	2244470	10761	0.0
SRR17301559_bin.29	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium_P	s__Eubacterium_P hominis	PRJNA791492	PCOS	85.0	0.27	50.0	2784879	4813	0.98495
SRR17301561_bin.12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp900540235	PRJNA791492	PCOS	88.27	1.45	100.0	1731472	4407	0.0
SRR17301561_bin.24	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__QAMH01	g__CASDTD01	s__	PRJNA791492	PCOS	92.91	2.82	100.0	1886588	8264	0.0
SRR17301561_bin.31	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__Alloprevotella sp900540885	PRJNA791492	PCOS	86.11	2.24	87.5	2208315	5221	0.0
SRR8849199_bin.13	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__COE1 sp001916965	PRJNA530971	PCOS	91.79	1.39	0.0	2853162	20502	0.9800453333333333
SRR8849199_bin.6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Anaerotignum	s__Anaerotignum faecicola	PRJNA530971	PCOS	98.66	0.0	0.0	1992418	27214	0.9754975
SRR8849200_bin.25	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii	PRJNA530971	PCOS	83.8	1.16	33.33	1950500	5312	0.968446
SRR8849201_bin.19	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Parasutterella	s__Parasutterella sp900552195	PRJNA530971	PCOS	97.47	0.63	0.0	2784401	20456	0.0
SRR8849203_bin.1	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella aerofaciens_O	PRJNA530971	PCOS	93.55	0.96	0.0	1973372	10140	0.0
SRR8849203_bin.2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_F	s__Eubacterium_F sp000433735	PRJNA530971	PCOS	91.74	1.34	66.67	1998686	6346	0.0
SRR8849204_bin.1	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Dialisteraceae	g__Dialister	s__Dialister sp002320515	PRJNA530971	PCOS	96.94	1.03	50.0	2341023	6689	0.0
SRR8849204_bin.2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster aldenensis	PRJNA530971	PCOS	93.6	0.63	0.0	5227421	19197	0.0
SRR8849207_bin.1	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	PRJNA530971	PCOS	99.72	2.0	0.0	2194539	16841	0.0
SRR8849207_bin.19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster sp900543885	PRJNA530971	PCOS	91.09	1.37	66.67	3209432	12766	0.0
SRR8849208_bin.22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Aristaeellaceae	g__UBA11524	s__UBA11524 sp000437595	PRJNA530971	PCOS	98.95	0.47	0.0	3098343	22781	0.9760380000000002
SRR8849208_bin.29	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__Dysosmobacter welbionis	PRJNA530971	PCOS	92.1	0.67	100.0	2202364	7283	0.9853462222222222
SRR8849208_bin.31	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus petauri	PRJNA530971	PCOS	81.93	1.41	16.67	1483441	4805	0.0
SRR8849208_bin.35	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides eggerthii	PRJNA530971	PCOS	90.98	0.74	100.0	3073278	29810	0.9883040000000001
SRR8849208_bin.39	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Butyricimonas	s__Butyricimonas paravirosa	PRJNA530971	PCOS	82.35	2.29	71.43	4558477	4787	0.0
SRR8849209_bin.10	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_E	PRJNA530971	PCOS	90.16	0.91	50.0	2019697	7018	0.9824625
SRR8849209_bin.13	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	PRJNA530971	PCOS	99.19	0.81	0.0	2226612	74827	0.0
SRR8849209_bin.14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Fimenecus	s__Fimenecus sp000432435	PRJNA530971	PCOS	97.99	0.34	0.0	1961085	102587	0.9800916923076923
SRR8849209_bin.15	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter torques	PRJNA530971	PCOS	99.42	0.0	0.0	2561055	59485	0.9897123333333333
SRR8849210_bin.1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp000435835	PRJNA530971	PCOS	95.8	0.4	100.0	3010185	26569	0.0
SRR8849210_bin.13	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp003439125	PRJNA530971	PCOS	100.0	0.81	0.0	2195710	59568	0.962056
SRR8849210_bin.2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__Paraclostridium hominis	PRJNA530971	PCOS	84.48	3.45	50.0	2517403	7890	0.0
SRR8849210_bin.24	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger formicilis	PRJNA530971	PCOS	94.63	0.0	0.0	2695653	21342	0.9782294074074073
SRR8849211_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira sp003537285	PRJNA530971	PCOS	90.22	0.17	100.0	2488835	11265	0.0
SRR8849211_bin.13	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Tractidigestivibacter	s__Tractidigestivibacter sp000752675	PRJNA530971	PCOS	91.94	0.0	0.0	2280968	22090	0.980863
SRR8849211_bin.15	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Megasphaeraceae	g__Megasphaera	s__Megasphaera sp000417505	PRJNA530971	PCOS	100.0	0.0	0.0	2290960	36381	0.9793004
SRR8849211_bin.21	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C sp000433635	PRJNA530971	PCOS	97.99	0.0	0.0	2356797	42194	0.9741406666666667
SRR8849211_bin.30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia rectibacter	PRJNA530971	PCOS	96.03	0.12	0.0	3254662	46389	0.984069
SRR8849211_bin.42	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp000434995	PRJNA530971	PCOS	98.66	0.0	0.0	1834547	123808	0.9835705454545455
SRR8849211_bin.43	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Dialisteraceae	g__Dialister	s__Dialister hominis	PRJNA530971	PCOS	98.73	0.02	0.0	1966203	30986	0.9864449000000001
SRR8849211_bin.47	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus sp000433075	PRJNA530971	PCOS	94.97	0.67	100.0	2272440	12541	0.978397
SRR8849211_bin.5	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis	PRJNA530971	PCOS	100.0	0.63	0.0	2419245	49344	0.9785513333333333
SRR8849212_bin.4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Brotaphodocola	s__Brotaphodocola sp003480315	PRJNA530971	PCOS	91.89	0.95	66.67	2722441	11858	0.0
SRR8849213_bin.20	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyribacter	s__Butyribacter sp003529475	PRJNA530971	PCOS	98.66	0.0	0.0	2616591	49989	0.983588
SRR8849213_bin.30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Alitiscatomonas	s__Alitiscatomonas sp900066785	PRJNA530971	PCOS	96.84	0.0	0.0	2726682	41082	0.980345
SRR8849213_bin.33	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Otoolea	s__Otoolea fessa	PRJNA530971	PCOS	98.73	0.0	0.0	2576858	28306	0.9811332500000001
SRR8849213_bin.36	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides ovatus	PRJNA530971	PCOS	82.93	1.84	64.71	5395437	12058	0.0
SRR8849213_bin.37	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruthenibacterium	s__Ruthenibacterium lactatiformans	PRJNA530971	PCOS	96.83	0.34	100.0	3042332	28723	0.9868389375
SRR8849213_bin.38	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides distasonis	PRJNA530971	PCOS	99.42	0.0	0.0	4483238	90015	0.97672090625
SRR8849213_bin.39	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Anaerotignum	s__Anaerotignum lactatifermentans	PRJNA530971	PCOS	97.32	0.0	0.0	2695362	67223	0.0
SRR8849213_bin.4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	s__Flavonifractor plautii	PRJNA530971	PCOS	95.97	0.0	0.0	2835374	14981	0.9802654375000001
SRR8849213_bin.44	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia hominis	PRJNA530971	PCOS	99.28	0.4	50.0	2966285	35000	0.9807451304347825
SRR8849214_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter faecis	PRJNA530971	PCOS	96.88	0.97	0.0	2718847	32355	0.9804930000000001
SRR8849214_bin.22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea	s__Dorea formicigenerans	PRJNA530971	PCOS	93.55	0.68	33.33	2319602	16639	0.9795946666666667
SRR8849214_bin.30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_G	s__Eubacterium_G sp000435815	PRJNA530971	PCOS	100.0	0.22	0.0	2541527	47182	0.9830114999999999
SRR8849215_bin.26	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio sp900319575	PRJNA530971	PCOS	96.33	1.38	0.0	2579721	90526	0.9847955
SRR8849215_bin.34	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp003525905	PRJNA530971	PCOS	93.06	0.0	0.0	2174875	22047	0.9802404285714286
SRR8849215_bin.39	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA11774	s__UBA11774 sp003507655	PRJNA530971	PCOS	96.79	1.03	0.0	2181583	80519	0.980263
SRR8849215_bin.9	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp900542275	PRJNA530971	PCOS	100.0	0.81	0.0	2277014	49775	0.0
SRR8849216_bin.12	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Parasutterella	s__Parasutterella gallistercoris	PRJNA530971	PCOS	99.37	0.0	0.0	2232935	41483	0.985873
SRR8849216_bin.20	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Brotaphodocola	s__Brotaphodocola catenula	PRJNA530971	PCOS	93.93	0.9	0.0	2611569	30310	0.0
SRR8849217_bin.7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp000436835	PRJNA530971	PCOS	98.66	0.0	0.0	1919951	69802	0.97716775
SRR8849218_bin.28	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__RFN20	f__CAG-288	g__CAG-568	s__CAG-568 sp000434395	PRJNA530971	PCOS	95.51	1.24	33.33	1425625	10522	0.0
SRR8849221_bin.22	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	PRJNA530971	PCOS	90.69	1.15	33.33	1936008	6015	0.0
SRR8849221_bin.26	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Megasphaeraceae	g__Caecibacter	s__Caecibacter sp003467125	PRJNA530971	PCOS	96.78	0.8	50.0	2383626	11349	0.0
SRR8849222_bin.16	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__Thomasclavelia spiroformis_A	PRJNA530971	PCOS	100.0	0.0	0.0	2369221	22018	0.0
SRR8849222_bin.17	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp900540595	PRJNA530971	PCOS	96.6	0.68	100.0	2184923	41932	0.9609095000000001
SRR8849222_bin.32	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp900066825	PRJNA530971	PCOS	97.02	0.67	0.0	2247592	18528	0.98276
SRR8849222_bin.9	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus_D	s__Haemophilus_D sp001815355	PRJNA530971	PCOS	88.49	3.36	72.73	1615124	4392	0.0
SRR8849223_bin.35	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-103	s__CAG-103 sp000432375	PRJNA530971	PCOS	93.29	0.0	0.0	1954330	84331	0.9788423333333333
SRR8849223_bin.37	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas coprocola	PRJNA530971	PCOS	93.29	0.67	0.0	1928548	57036	0.9781885882352941
SRR8849223_bin.38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pararoseburia	s__Pararoseburia lenta	PRJNA530971	PCOS	97.79	0.24	0.0	2306790	87707	0.9871706666666666
SRR8849223_bin.44	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides merdae	PRJNA530971	PCOS	97.26	0.0	0.0	3766611	38604	0.9865054615384616
SRR8849223_bin.6	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	PRJNA530971	PCOS	95.89	1.81	0.0	2150223	10993	0.0
SRR8849224_bin.10	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Sutterella	s__Sutterella parvirubra	PRJNA530971	PCOS	98.14	1.55	0.0	2387518	32700	0.0
SRR8849225_bin.15	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium longum	PRJNA530971	PCOS	100.0	0.0	0.0	2400494	40699	0.9744184615384615
SRR8849225_bin.5	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	PRJNA530971	PCOS	84.16	0.12	100.0	1986039	6156	0.0
SRR8849226_bin.12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella	s__Hungatella hathewayi	PRJNA530971	PCOS	98.73	0.95	66.67	6349405	113969	0.0
SRR8849226_bin.37	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C sp000980705	PRJNA530971	PCOS	97.32	0.0	0.0	2441699	83626	0.9880406666666666
SRR8849226_bin.43	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	PRJNA530971	PCOS	100.0	1.61	50.0	2159760	56142	0.0
SRR8849226_bin.9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	PRJNA530971	PCOS	99.36	0.0	0.0	2578184	51796	0.970345524590164
SRR8849227_bin.18	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__Dorea_A amylophila	PRJNA530971	PCOS	95.36	0.49	0.0	2498093	31034	0.9744545
SRR8849227_bin.2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes	s__Anaerostipes hadrus	PRJNA530971	PCOS	99.31	1.34	0.0	2378283	21888	0.9788541612903227
SRR8849227_bin.23	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus_D	s__Haemophilus_D sp905205995	PRJNA530971	PCOS	98.95	1.66	91.67	2013050	29462	0.953238
SRR8849228_bin.25	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella intestinihominis	PRJNA530971	PCOS	99.25	0.0	0.0	3079375	149652	0.9823124285714284
SRR8849228_bin.26	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Hominimerdicola	s__Hominimerdicola aceti	PRJNA530971	PCOS	99.32	0.0	0.0	2711347	85924	0.9725360967741934
SRR8849228_bin.32	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	PRJNA530971	PCOS	81.49	2.49	50.0	1695018	4304	0.0
SRR8849228_bin.39	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp000177015	PRJNA530971	PCOS	97.55	1.01	100.0	2440427	69689	0.962345
SRR8849228_bin.51	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__Dysosmobacter segnis	PRJNA530971	PCOS	98.18	0.67	100.0	2252559	39318	0.9710433333333334
